"record_nbr","pay_year","fms_dept","fms_department_title","job_class_pgrade","job_title","employment_type","job_status","mou","mou_title","regular_pay","overtime_pay","all_other_pay","total_pay","city_retirement_contributions","benefit_pay","gender","ethnicity"
"373331363733","2018","98","WATER AND POWER","958-1","CONSTR PIPFTR","FULL_TIME","ACTIVE","Z","DAILY RATE","60661.93","5523.6","33122.100000000006","99307.63","0","0","MALE","BLACK"
"3039323937","2018","14","CITY CLERK","0729-0","ELECTION ASSISTANT II","PART_TIME","NOT_ACTIVE","00","NON-REPRESENTED","2040","135","0","2175","0","0","FEMALE","HISPANIC"
"373831343933","2018","98","WATER AND POWER","972-1","CONSTR ROOFR","FULL_TIME","ACTIVE","Z","DAILY RATE","62222.72","1016.17","36962.100000000006","100200.99","0","0","MALE","HISPANIC"
"3839333538","2018","98","WATER AND POWER","1230-5","COML SRVC REPTV","FULL_TIME","NOT_ACTIVE","7","CLERICAL UNIT","0","0","537.51","537.51","0","0","FEMALE","BLACK"
"303938373933","2018","66","PERSONNEL","1502-0","STUDENT PROFESSIONAL WORKER","PART_TIME","ACTIVE","00","NON-REPRESENTED","6238.45","0","0","6238.45","0","0","FEMALE","ASIAN"
"3130323132","2018","94","TRANSPORTATION","3214-2","TRAFFIC OFFICER II","FULL_TIME","ACTIVE","18","SAFETY / SECURITY","66456","23784.11","1686.47","91926.58","19710.8496","19731.84","MALE","HISPANIC"
"3130333632","2018","38","FIRE","9184-0","MANAGEMENT ANALYST","FULL_TIME","NOT_ACTIVE","01","ADMINISTRATIVE","0","0","113.25","113.25","0","0","FEMALE","CAUCASIAN"
"3130393836","2018","28","COUNCIL","0186-F","COUNCIL AIDE VII","FULL_TIME","NOT_ACTIVE","00","NON-REPRESENTED","0","0","374.2","374.2","0","0","MALE","HISPANIC"
"3131333034","2018","66","PERSONNEL","1358-0","ADMINISTRATIVE CLERK","FULL_TIME","NOT_ACTIVE","03","CLERICAL","0","0","61.36","61.36","0","0","FEMALE","HISPANIC"
"3536303433","2018","70","POLICE","9184-2","MANAGEMENT ANALYST II","FULL_TIME","NOT_ACTIVE","01","ADMINISTRATIVE","0","0","212.2","212.2","0","0","FEMALE","HISPANIC"
"3536303435","2018","70","POLICE","9184-0","MANAGEMENT ANALYST","FULL_TIME","NOT_ACTIVE","01","ADMINISTRATIVE","46867.95","12.87","23.62","46904.44","13901.03397","8380.19","MALE","BLACK"
"353630343733","2018","4","AIRPORTS","3225-2","AIRPORT POLICE OFFICER II","FULL_TIME","ACTIVE","30","LOS ANGELES AIRPORT PEACE OFFICERS","48738.76","1907.9","2727.55","53374.21","14455.916216","8237.64","MALE","HISPANIC"
"3536303437","2018","82","PUBLIC WORKS - SANITATION","3112-6","MAINTENANCE LABORER","FULL_TIME","ACTIVE","04","EQUIPMENT OPERATION AND LABOR","63591.23","6316.26","1152.39","71059.88","18861.158818","7968.72","MALE","HISPANIC"
"353630343833","2018","40","GENERAL SERVICES","7968-2","MATERIALS TESTING TECHNICIAN II","FULL_TIME","ACTIVE","21","TECHNICAL","54237.7","5630.3","1200","61068","16086.90182","238.8","MALE","HISPANIC"
"353630343933","2018","26","CONTROLLER","1539-0","MANAGEMENT ASSISTANT","FULL_TIME","NOT_ACTIVE","01","ADMINISTRATIVE","43425.95","0","357","43782.95","12880.13677","6055.14","FEMALE","ASIAN"
"3536303533","2018","42","HARBOR","7291-0","CONSTRUCTION INSPECTOR","FULL_TIME","NOT_ACTIVE","05","INSPECTORS","67841.31","1554.68","2494.49","71890.48","20121.732546","10124.84","MALE","FILIPINO"
"353630353433","2018","94","TRANSPORTATION","3214-1","TRAFFIC OFFICER I","PART_TIME","NOT_ACTIVE","18","SAFETY / SECURITY","15137.420000000002","0","1010","16147.420000000002","0","0","MALE","BLACK"
"3536303534","2018","78","PUBLIC WORKS - ENGINEERING","7232-0","CIVIL ENGINEERING DRAFTING TECHNICIAN","FULL_TIME","ACTIVE","21","TECHNICAL","74712","0","2933.62","77645.62","22159.5792","7537.2","MALE","AMERICAN INDIAN"
"3536303535","2018","2","AGING","1116-0","SECRETARY","FULL_TIME","NOT_ACTIVE","03","CLERICAL","43968","0","844.98","44812.98","13040.9088","125.85","FEMALE","HISPANIC"
"3536303535","2018","32","INFORMATION TECHNOLOGY AGENCY","1368-0","SENIOR ADMINISTRATIVE CLERK","FULL_TIME","NOT_ACTIVE","03","CLERICAL","25844.8","0","450","26294.8","7665.56768","75.51","FEMALE","HISPANIC"
"353630353833","2018","40","GENERAL SERVICES","0865-0","ELECTRICIAN - HIRING HALL","PART_TIME","NOT_ACTIVE","35","CRAFT WORKERS/ HIRING HALL","37833.65","0","5341.16","43174.81","0","0","MALE","OTHER"
"3536303539","2018","4","AIRPORTS","3156-A","CUSTODIAN - AIRPORTS","FULL_TIME","NOT_ACTIVE","15","SERVICE EMPLOYEES","51497.5","6250.25","1831.55","59579.3","15274.1585","7987.92","MALE","HISPANIC"
"3536303632","2018","82","PUBLIC WORKS - SANITATION","3525-6","EQUIPMENT OPERATOR","PER_EVENT","NOT_ACTIVE","04","EQUIPMENT OPERATION AND LABOR","0","0","21.43","21.43","0","0","MALE","CAUCASIAN"
"3536303634","2018","4","AIRPORTS","3181-0","SECURITY OFFICER","FULL_TIME","NOT_ACTIVE","18","SAFETY / SECURITY","16149.16","0","3941.98","20091.14","4789.840856","3832.08","MALE","BLACK"
"353630363733","2018","39","OFFICE OF FINANCE","1514-2","TAX AUDITOR II","FULL_TIME","NOT_ACTIVE","01","ADMINISTRATIVE","72083.21","0","1906.89","73990.1","21379.880086","7203.36","FEMALE","ASIAN"
"353630363833","2018","44","LIBRARY","1111-0","MESSENGER CLERK","PART_TIME","NOT_ACTIVE","03","CLERICAL","12501","0","0","12501","0","0","MALE","HISPANIC"
